Source.Name,Country,County,Basin,GOM,DrillFor,Location,State/Province,Trajectory,Year,Month,US_PublishDate,Rig Count Value
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2025,3,2025-03-14,5
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,EAST CENTRAL ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2026,1,2026-01-23,5
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,EAST CENTRAL ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2026,1,2026-01-30,5
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,EAST CENTRAL ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2026,2,2026-02-13,5
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2024,1,2024-01-12,6
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2024,1,2024-01-19,11
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,EAST CENTRAL ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2024,1,2024-01-26,4
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2024,1,2024-01-26,13
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,EAST CENTRAL ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2024,2,2024-02-02,4
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2024,2,2024-02-02,16
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,EAST CENTRAL ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2024,2,2024-02-09,4
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2024,2,2024-02-09,16
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2024,2,2024-02-16,17
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2024,2,2024-02-23,17
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2024,3,2024-03-01,22
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2024,3,2024-03-08,21
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2024,3,2024-03-15,20
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2024,3,2024-03-22,8
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2025,1,2025-01-24,7
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2025,1,2025-01-31,11
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2025,2,2025-02-07,10
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2025,2,2025-02-14,11
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2025,2,2025-02-21,13
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2025,2,2025-02-28,14
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2025,3,2025-03-07,13
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2025,12,2025-12-19,4
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2026,1,2026-01-09,7
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,EAST CENTRAL ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2026,1,2026-01-16,4
02.20.2026 Baker Hughes Rig File.xlsx,CANADA,NORTHEASTERN ALBERTA,Other,No,Oil,Land,ALBERTA,Vertical,2026,1,2026-01-16,10
